microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	protocol
M300598	252	54.36650601538293	4.127847851822845	Caecum right	Positive	MSEB0006	G121eI101B	B12	76899.2447	26623.5228	4976	full_ulv2
M300599	252	55.01443904854517	4.041643809749741	Caecum right	Positive	MSEB0006	G121eI101B	B12	76852.72528	26643.02112	4976	full_ulv2
M300600	37	12.471507742268255	3.8715893876122496	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B12	NA	NA	NA	full_ulv2
M300601	122	44.75291999978285	6.549660876949726	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	72982.58182	21722.53192	4976	full_ulv2
M300602	195	3.770398620944876	1.5262863507779507	Ileum	Positive	MSEB0006	G121eD101C	B11	104424.7	42749.48	5140	full_ulv2
M300603	172	3.443780935285249	1.7613208418943487	Ileum	Positive	MSEB0006	G121eD101C	B11	104606.9	42459.54	5140	full_ulv2
M300604	54	11.488595005116448	3.4308602463184883	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101758.4	36668.7	5140	full_ulv2
M300605	154	3.4680409252806026	1.5808482702581232	Ileum	Positive	MSEB0006	G121eD101C	B11	104954.5	42730.89	5140	full_ulv2
M300606	231	42.31283972628227	4.055183971499078	Ileum	Positive	MSEB0006	G121eD101C	B11	105122.5	42666.74	5140	full_ulv2
M300607	25	4.742713270883	1.8776990683658754	Ileum	NegativeReaction	MSEB0006	G121eD101R	B11	NA	NA	NA	full_ulv2
M300608	180	3.0935471560028653	1.5142225462909809	Ileum	Positive	MSEB0006	G121eD101C	B11	105262.7	42589.77	5140	full_ulv2
M300609	207	3.586402958906032	1.5151762369698871	Ileum	Positive	MSEB0006	G121eD101C	B11	105328.9	42703.6	5140	full_ulv2
M300610	193	3.4344643154021997	1.5211434796916834	Ileum	Positive	MSEB0006	G121eD101C	B11	105102.4	41497.1	4976	full_ulv2
M300611	75	4.120702835538338	1.781888937512877	Ileum	Positive	MSEB0006	G121eD101C	B11	105146	41596.22	4976	full_ulv2
M300612	186	3.576176616563507	1.5120444797750747	Ileum	Positive	MSEB0006	G121eD101C	B11	105281	41702.52	4976	full_ulv2
M300613	71	2.2271479610382223	1.3601704486034403	Ileum	Positive	MSEB0006	G121eD101C	B11	105408.3	41533.66	4976	full_ulv2
M300614	51	13.957407886360143	4.473484311825549	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101928.6	37181.6	4976	full_ulv2
M300615	76	33.344988241666044	4.963146913587944	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B11	NA	NA	NA	full_ulv2
M300616	174	1.8456524818906492	1.2492029235850928	Ileum	Positive	MSEB0006	G121eD101C	B11	105595.7	41999.37	4976	full_ulv2
M300617	236	5.3325028049747125	1.9848549960223547	Ileum	Positive	MSEB0006	G121eD101C	B11	105983	42106.21	4976	full_ulv2
M300618	56	8.503251687940194	2.6266721836779197	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101861.4	37375.71	5306	full_ulv2
M300619	175	2.5504700959153523	1.4107549715819567	Ileum	Positive	MSEB0006	G121eD101C	B11	106845.7	41525.8	5306	full_ulv2
M300620	28	7.6407699619616425	2.9050435162965877	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B11	NA	NA	NA	full_ulv2
M300621	119	12.148781176215904	3.3492010906572993	Ileum	Positive	MSEB0006	G121eD101C	B11	107360.5	41744.06	5306	full_ulv2
M300622	221	4.591256776167405	1.7661749989781712	Ileum	Positive	MSEB0006	G121eD101C	B11	107262.3	42133.87	5306	full_ulv2
M300623	160	3.9663788794218706	1.7999671155410228	Ileum	Positive	MSEB0006	G121eD101C	B11	107820.6	41925.02	5306	full_ulv2
M300624	115	1.651694092014488	1.2320737239750263	Ileum	Positive	MSEB0006	G121eD101C	B11	107233.5	41764.35	5306	full_ulv2
M300625	144	5.388600574950159	2.3201015092656436	Ileum	Positive	MSEB0006	G121eD101C	B11	107258.1	42448.02	5306	full_ulv2
M300626	41	8.538644736971468	2.8635863108538446	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B12	NA	NA	NA	full_ulv2
M300627	144	3.518088215555833	1.5123609392106847	Ileum	Positive	MSEB0006	G121eD101C	B12	108112	45420.81	4815	full_ulv2
M300628	175	3.173884931044205	1.6079027193757356	Ileum	Positive	MSEB0006	G121eD101C	B12	108221.6	45346.45	4815	full_ulv2
M300629	182	2.3934803488628025	1.4504580569338006	Ileum	Positive	MSEB0006	G121eD101C	B12	108085.5	45636.13	4815	full_ulv2
M300630	182	2.332204912539094	1.406258801272257	Ileum	Positive	MSEB0006	G121eD101C	B12	108093.7	45848.93	4815	full_ulv2
M300631	208	4.627633202211888	1.9664858412091153	Ileum	Positive	MSEB0006	G121eD101C	B12	107697.5	45704.29	4815	full_ulv2
M300632	139	31.36486220051896	4.012416331666894	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	102872.4	38456.93	4815	full_ulv2
M300633	216	2.511084332113475	1.4951766427601383	Ileum	Positive	MSEB0006	G121eD101C	B12	107727.5	45487.09	4815	full_ulv2
M300634	213	3.1221809050012634	1.5409722696913402	Ileum	Positive	MSEB0006	G121eD101C	B12	106635.9	42106.55	5384	full_ulv2
M300635	30	5.405678799985062	2.2154215607118113	Ileum	NegativeReaction	MSEB0006	G121eD101R	B12	NA	NA	NA	full_ulv2
M300636	204	3.5091444192072814	1.7439298519639297	Ileum	Positive	MSEB0006	G121eD101C	B12	106545.5	42220.7	5384	full_ulv2
M300637	51	2.9105882653344115	1.5096765443041962	Ileum	Positive	MSEB0006	G121eD101C	B12	106948.1	42956.5	5384	full_ulv2
M300638	203	3.460642936328517	1.6423592468432306	Ileum	Positive	MSEB0006	G121eD101C	B12	106647	42288.86	5384	full_ulv2
M300639	224	2.9907240013693897	1.5671942508618846	Ileum	Positive	MSEB0006	G121eD101C	B12	106800.5	41821.88	5384	full_ulv2
M300640	139	2.6007495460414765	1.4764136312537857	Ileum	Positive	MSEB0006	G121eD101C	B12	107052.7	42525.49	5384	full_ulv2
M300641	98	27.02153437879087	5.5751441831260555	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	103203.4	38334.96	5384	full_ulv2
M300642	72	2.706444395160756	1.5841371968816182	Ileum	Positive	MSEB0006	G121eD101C	B12	108030.7	43599.5	4976	full_ulv2
M300643	16	5.123028421208358	1.7695227668406424	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	101876.9	39000.58	4976	full_ulv2
M300644	225	1.815381966695151	1.2447897283334348	Ileum	Positive	MSEB0006	G121eD101C	B12	NA	NA	NA	full_ulv2
M300645	192	1.6871094767305914	1.278008736272819	Ileum	Positive	MSEB0006	G121eD101C	B12	107988.2	43509.47	4976	full_ulv2
M300646	64	13.841431681356076	3.496467302540522	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B12	NA	NA	NA	full_ulv2
M300647	201	3.5571713129135927	1.5092359002291826	Ileum	Positive	MSEB0006	G121eD101C	B12	107969.5	43138.84	4976	full_ulv2
M300648	198	2.0293091954584432	1.3151269603921603	Ileum	Positive	MSEB0006	G121eD101C	B12	107883.7	43169.5	4976	full_ulv2
M300649	74	4.148090815966612	1.8281605968234051	Ileum	Positive	MSEB0006	G121eD101C	B12	107984.2	43047.52	4976	full_ulv2
M300650	90	25.547686242213768	5.49095967717029	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	13017.48022	NA	NA	full_celero
M300651	252	60.33446199282052	4.037826806226901	Caecum right	Positive	MSEB0009	G121eI102A	B12	11906.706	17302.784	5140	full_celero
M300652	252	55.70658284158803	4.230868088580032	Caecum right	Positive	MSEB0009	G121eI102A	B12	14050.46	17001.916	5140	full_celero
M300653	205	23.11588892329337	2.8859442407687	Caecum right	Positive	MSEB0009	G121eI102A	B12	15132.646	18629.716	5140	full_celero
M300654	252	49.719436184812054	3.9586268146412804	Caecum right	Positive	MSEB0009	G121eI102A	B12	14807.47	19475.984	5140	full_celero
M300655	66	11.835013049260946	3.758529117421335	Caecum right	Positive	MSEB0009	G121eI102A	B12	12921.636	17630.904	5140	full_celero
M300656	237	51.6279980553716	3.8793256742488538	Caecum right	Positive	MSEB0009	G121eI102A	B12	15095.242	18655.456	5140	full_celero
M300657	249	40.393212615171386	4.019623231556224	Caecum right	Positive	MSEB0009	G121eI102A	B12	15154.326	19081.924	5140	full_celero
M300658	252	55.64607981172688	4.151520205843051	Caecum right	Positive	MSEB0009	G121eI102A	B12	9192.814	19234.392	4976	full_celero
M300659	252	52.07234417425532	4.069240208787729	Caecum right	Positive	MSEB0009	G121eI102A	B12	12511.076	19365.328	4976	full_celero
M300660	76	5.499699210977791	2.285933777461648	Caecum right	Positive	MSEB0009	G121eI102A	B12	11930.67	19818.576	4976	full_celero
M300661	253	51.583909512811374	4.013095145991584	Caecum right	Positive	MSEB0009	G121eI102A	B12	11699.514	20259.004	4976	full_celero
M300662	251	56.60345048645767	3.916390858720181	Caecum right	Positive	MSEB0009	G121eI102A	B12	13804.91	20094.724	4976	full_celero
M300663	97	10.308725186480816	4.266068751492219	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	full_celero
M300664	249	30.49358159016942	3.840296007081651	Caecum right	Positive	MSEB0009	G121eI102A	B12	12513.988	21896.24	4976	full_celero
M300665	240	19.254616719879124	3.3170759637116287	Caecum right	Positive	MSEB0009	G121eI102A	B12	9669.578	19330.824	4976	full_celero
M300666	252	53.74389072852351	4.080994955285502	Caecum right	Positive	MSEB0009	G121eI102A	B12	10924.656	21602.492	5384	full_celero
M300667	73	21.07896292473505	5.788265442343405	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	full_celero
M300668	252	50.27707129676483	4.072904012107348	Caecum right	Positive	MSEB0009	G121eI102A	B12	14208.788	22187.84	5384	full_celero
M300669	252	52.99575524626482	4.1957865091243	Caecum right	Positive	MSEB0009	G121eI102A	B12	13658.99	21278.184	5384	full_celero
M300670	249	54.5203669816121	4.020114352992527	Caecum right	Positive	MSEB0009	G121eI102A	B12	15752.91	20908.008	5384	full_celero
M300671	251	52.12184989241275	4.170801937416355	Caecum right	Positive	MSEB0009	G121eI102A	B12	13086.41	21703.248	5384	full_celero
M300672	252	53.38695220619509	3.983508392218954	Caecum right	Positive	MSEB0009	G121eI102A	B12	13311.294	20916.06	5384	full_celero
M300673	251	50.11214156987195	4.1469285287826345	Caecum right	Positive	MSEB0009	G121eI102A	B12	14520.766	22307.328	5384	full_celero
M300674	252	56.78942657944336	4.028198846750809	Caecum right	Positive	MSEB0009	G121eI102A	B12	12054.27	23154.78	5051	full_celero
M300675	252	55.62653755947167	4.026539299369258	Caecum right	Positive	MSEB0009	G121eI102A	B12	13501.846	20960.876	5051	full_celero
M300676	250	52.0225258362072	4.150432582823122	Caecum right	Positive	MSEB0009	G121eI102A	B12	14952.726	23717.404	5051	full_celero
M300677	247	51.57029728074234	3.9798579670744205	Caecum right	Positive	MSEB0009	G121eI102A	B12	12773.38	21535.84	5051	full_celero
M300678	253	53.265315697936515	4.0737649044412905	Caecum right	Positive	MSEB0009	G121eI102A	B12	12504.528	21793.468	5051	full_celero
M300679	252	52.843053385826295	4.090399311924144	Caecum right	Positive	MSEB0009	G121eI102A	B12	12589.016	20536.832	5051	full_celero
M300680	252	56.08569934750448	4.115161464496793	Caecum right	Positive	MSEB0009	G121eI102A	B12	13215.834	22405.848	5051	full_celero
M300681	199	15.133302483752068	3.203388763805941	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	full_celero
M300682	237	49.016763248696016	4.129097129141663	Caecum right	Positive	MSEB0009	G121eI102A	B12	14464.852	18168.78	4976	half_ulv2
M300683	252	52.766786402736344	4.190538079014867	Caecum right	Positive	MSEB0009	G121eI102A	B12	15660.538	17029.204	4976	half_ulv2
M300684	251	49.97610642530559	4.08744350909383	Caecum right	Positive	MSEB0009	G121eI102A	B12	13001.74	18200.656	4976	half_ulv2
M300685	222	32.54946198503808	4.768086060100776	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	half_ulv2
M300686	215	58.24677835920321	3.9860240591170673	Caecum right	Positive	MSEB0009	G121eI102A	B12	14173.26	17741.148	4976	half_ulv2
M300687	251	54.58623183802066	4.091224999871864	Caecum right	Positive	MSEB0009	G121eI102A	B12	14317.052	18439.384	4976	half_ulv2
M300688	251	53.413915672112225	4.010618607596824	Caecum right	Positive	MSEB0009	G121eI102A	B12	14710.394	18826.568	4976	half_ulv2
M300689	252	54.070423153055174	4.127761201235421	Caecum right	Positive	MSEB0009	G121eI102A	B12	14280.268	17123.5	4976	half_ulv2
M300690	252	53.7828591581504	4.233270608487853	Caecum right	Positive	MSEB0009	G121eI102A	B12	9132.332	19004.864	5140	half_ulv2
M300691	252	54.12591846784237	4.099929083504794	Caecum right	Positive	MSEB0009	G121eI102A	B12	9914.94	18812.936	5140	half_ulv2
M300692	252	57.228981304546515	4.1881285001621595	Caecum right	Positive	MSEB0009	G121eI102A	B12	12814.906	20311.484	5140	half_ulv2
M300693	58	23.416149223666334	5.412035538352901	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	half_ulv2
M300694	251	51.9897111428954	4.0685971180682925	Caecum right	Positive	MSEB0009	G121eI102A	B12	12365.162	19024.052	5140	half_ulv2
M300695	252	55.251650021406114	4.033557492175169	Caecum right	Positive	MSEB0009	G121eI102A	B12	13549.8	18825.928	5140	half_ulv2
M300696	251	53.01500622105583	4.124371867733307	Caecum right	Positive	MSEB0009	G121eI102A	B12	12894.764	18832.324	5140	half_ulv2
M300697	252	55.03444844548307	4.188927267356971	Caecum right	Positive	MSEB0009	G121eI102A	B12	13465.594	19185	5140	half_ulv2
M300698	239	2.871161494066181	1.4985829949777272	Ileum	Positive	MSEB0009	G121eD102B	B02	NA	NA	NA	full_ulv2
M300699	240	2.9087214748872525	1.4979343071018125	Ileum	Positive	MSEB0009	G121eD102C	B02	NA	NA	NA	full_ulv2
M300700	244	3.5986050766533677	1.6009673689070851	Ileum	Positive	MSEB0009	G121eD103A	B12	NA	NA	NA	full_ulv2
M300701	243	3.9100671191098835	1.6635918651255746	Ileum	Positive	MSEB0009	G121eD103C	B12	NA	NA	NA	full_ulv2
M300702	8	3.0070040696619	1.3544247626716293	Caecum right	NegativeReaction	MSEB0009	G121eI102R	NA	NA	NA	NA	full_ulv2
M300703	6	2.68149591200299	1.2907170146253832	Caecum right	NegativeReaction	MSEB0009	G121eI102R	NA	NA	NA	NA	full_ulv2
Undeter	253	56.60336666505585	4.191805825865424	NA	NA	NA	NA	NA	NA	NA	NA	NA
